Conf,CNo.,ION,CION,SOL
4, 23, 2, 2, 4
4, 24, 1, 0, 5
4, 25, 4, 3, 9
4, 26, 3, 0, 10
4, 27, 5, 4, 9
4, 28, 1, 0, 3
4, 29, 4, 1, 8
4, 30, 7, 2, 13
4, 31, 3, 1, 4
4, 32, 1, 0, 5
4, 33, 1, 0, 4
4, 34, 8, 8, 13
4, 35, 1, 0, 1
4, 36, 1, 0, 3
4, 37, 1, 0, 3
4, 38, 1, 0, 5
4, 39, 2, 1, 7
4, 40, 1, 0, 5
4, 41, 1, 0, 2
4, 42, 1, 0, 3
4, 43, 2, 0, 5
4, 44, 2, 0, 7
4, 45, 3, 1, 3
4, 46, 1, 2, 1
4, 47, 1, 1, 3
4, 48, 1, 0, 2
4, 49, 1, 0, 3
4, 50, 2, 1, 3
4, 51, 1, 0, 6
4, 52, 1, 0, 0
4, 53, 1, 0, 2
4, 54, 2, 2, 6
4, 55, 1, 0, 3
4, 56, 1, 1, 4
4, 57, 1, 0, 5
4, 58, 4, 4, 7
4, 59, 1, 0, 1
4, 60, 2, 1, 4
4, 61, 2, 2, 6
4, 62, 1, 0, 0
4, 63, 1, 1, 3
4, 64, 2, 0, 7
4, 65, 4, 2, 4
4, 66, 2, 2, 3
4, 67, 2, 0, 6
4, 68, 2, 1, 6
4, 69, 4, 2, 11
4, 70, 1, 0, 5
4, 71, 2, 0, 5
4, 72, 1, 1, 2
4, 73, 1, 0, 0
4, 74, 1, 0, 3
4, 75, 2, 1, 9
4, 76, 1, 1, 5
4, 77, 3, 0, 2
4, 78, 1, 0, 0
4, 79, 1, 0, 6
4, 80, 1, 0, 2
4, 81, 1, 0, 3
4, 82, 2, 0, 8
4, 83, 1, 0, 5
4, 84, 1, 0, 3
4, 85, 1, 0, 3
4, 86, 3, 2, 7
4, 87, 1, 0, 2
4, 88, 1, 1, 3
4, 89, 2, 1, 3
4, 90, 2, 0, 5
4, 91, 1, 0, 1
4, 92, 1, 0, 1
4, 93, 1, 1, 4
4, 94, 4, 1, 13
4, 95, 1, 1, 4
4, 96, 2, 2, 4
4, 97, 1, 0, 2
4, 98, 1, 1, 3
4, 99, 1, 0, 3
4, 100, 1, 1, 0
4, 101, 1, 0, 2
4, 102, 3, 1, 9
4, 103, 3, 1, 5
4, 104, 1, 0, 1
4, 105, 1, 1, 2
4, 106, 1, 0, 1
4, 107, 1, 0, 2
4, 108, 1, 0, 3
4, 109, 1, 1, 2
4, 110, 1, 0, 2
4, 111, 1, 1, 2
4, 112, 3, 2, 5
4, 113, 1, 1, 1
4, 114, 1, 0, 1
4, 115, 1, 0, 1
4, 116, 1, 1, 1
4, 117, 1, 0, 5
4, 118, 1, 0, 4
4, 119, 1, 0, 2
4, 120, 2, 1, 2
4, 121, 1, 0, 3
4, 122, 2, 2, 7
4, 123, 1, 0, 5
4, 124, 2, 1, 6
4, 125, 2, 2, 4
4, 126, 1, 0, 3
4, 127, 1, 2, 2
4, 128, 1, 0, 2
4, 129, 1, 1, 3
4, 130, 1, 1, 2
4, 131, 1, 0, 5
4, 132, 2, 0, 5
4, 133, 1, 0, 1
4, 134, 1, 0, 6
4, 135, 3, 0, 10
4, 136, 1, 1, 6
4, 137, 1, 0, 0
4, 138, 1, 1, 5
4, 139, 1, 0, 6
4, 140, 1, 0, 5
4, 141, 1, 0, 3
4, 142, 1, 0, 4
4, 143, 1, 0, 2
4, 144, 1, 0, 4
4, 145, 2, 1, 4
